Arno-Holz-Allee 11	94547	Iggensbach	+49 9903 5486 10	+49 9903 5486 59
Dunantring 41F	08541	Theuma	+49 3741 47362 10	+49 3741 47362 59
Tolkewitzer Straße 30e	55483	Schlierschied	+49 6765 59736 10	+49 6765 59736 59
Ingelheimer Straße 19e	85778	Haimhausen	+49 8133 77935 10	+49 8133 77935 59
Rautenbergstraße 48b	54662	Speicher	+49 6562 96257 10	+49 6562 96257 59
Steinhauerdamm 36	54655	Sankt Thomas	+49 6563 96480 10	+49 6563 96480 59
Lietbargredder 11A	23992	Züsow	+49 38422 8639 10	+49 38422 8639 59
Heinrichsstraße 31b	97355	Castell	+49 9325 3912 10	+49 9325 3912 59
Miquelallee 31b	53498	Waldorf	+49 2636 18099 10	+49 2636 18099 59
Jean-Gardner-Batten-Straße 41b	67808	Mörsfeld	+49 6358 76534 10	+49 6358 76534 59
Riedhalsstraße 20A	39317	Elbe-Parey	+49 5973 6233 10	+49 5973 6233 59
Bleichanger 45D	01109	Dresden	+49 351 65212 10	+49 351 65212 59
Bergstieg 37A	19294	Karenz	+49 38750 1346 10	+49 38750 1346 59
Am Alten Elbarm 46c	56767	Mosbruch	+49 2692 2131 10	+49 2692 2131 59
Mövenstraße 15c	55758	Sien	+49 30 236580 10	+49 30 236580 59
Schönborner Straße 20E	08141	Reinsdorf	+49 37603 4797 10	+49 37603 4797 59
Georg-Nerlich-Straße 2B	53579	Erpel	+49 2644 40630 10	+49 2644 40630 59
Landrichterstraße 33	37079	Göttingen	+49 551 38472 10	+49 551 38472 59
Dorfplatz 32f	18246	Rühn	+49 38462 1583 10	+49 38462 1583 59
Striesener Straße 24F	54314	Zerf	+49 6587 84599 10	+49 6587 84599 59
Geibelstraße 38	93107	Thalmassing	+49 9453 93645 10	+49 9453 93645 59
Theodor-Haubach-Weg 22A	03149	Wiesengrund	+49 3774 14347 10	+49 3774 14347 59
Ostrauer Straße 36b	89435	Finningen	+49 9074 42747 10	+49 9074 42747 59
Stralsunder Weg 8a	56203	Höhr-Grenzhausen	+49 2624 92197 10	+49 2624 92197 59
Häfnergasse 26d	18181	Graal-Müritz	+49 5402 96349 10	+49 5402 96349 59
Amalienstraße 24c	36148	Kalbach	+49 9742 48356 10	+49 9742 48356 59
Lönsstraße 32B	98529	Suhl	+49 3681 3529 10	+49 3681 3529 59
Bernhard-von-Lindenau-Platz 32H	08236	Ellefeld	+49 3745 21098 10	+49 3745 21098 59
Papyrusweg 31	23898	Klinkrade	+49 4536 72438 10	+49 4536 72438 59
Fährgasse 14a	03058	Neuhausen/Spree	+49 7736 68730 10	+49 7736 68730 59
Louis-Braille-Straße 32C	36381	Schlüchtern	+49 6661 60249 10	+49 6661 60249 59
Bertha-von-Suttner-Ring 33	25832	Kotzenbüll	+49 4861 89448 10	+49 4861 89448 59
Holzgraben 7B	74936	Siegelsbach	+49 7264 80931 10	+49 7264 80931 59
Am Lindenbaum 41B	57629	Lochum	+49 2666 48104 10	+49 2666 48104 59
Hofwiese 19d	63486	Bruchköbel	+49 6181 42731 10	+49 6181 42731 59
Amselgrund 28e	86704	Tagmersheim	+49 9094 88193 10	+49 9094 88193 59
Trimbergstraße 11A	39128	Magdeburg	+49 391 88619 10	+49 391 88619 59
Veteranenstraße 24	39106	Magdeburg	+49 391 62062 10	+49 391 62062 59
Werkstättenstraße 29f	76137	Karlsruhe	+49 721 98239 10	+49 721 98239 59
Heiligkreuzgasse 11b	78592	Egesheim	+49 7429 81899 10	+49 7429 81899 59
Leutewitzer Straße 30	17322	Rossow	+49 39743 1346 10	+49 39743 1346 59
Brunnenstraße 22E	45529	Hattingen	+49 2324 5475 10	+49 2324 5475 59
Grenzstraße 36b	75392	Deckenpfronn	+49 7056 6232 10	+49 7056 6232 59
Anspacher Straße 35e	15913	Byhleguhre-Byhlen	+49 89 631791 10	+49 89 631791 59
Babenberger Ring 27E	23883	Lehmrade	+49 4542 97692 10	+49 4542 97692 59
Sonninstraße 3	25551	Hohenlockstedt	+49 4826 73093 10	+49 4826 73093 59
Am Teich 32	75417	Mühlacker	+49 7041 98493 10	+49 7041 98493 59
Mohnstraße 35F	85395	Nandlstadt	+49 6247 5984 10	+49 6247 5984 59
Stalburgstraße 22A	72294	Grömbach	+49 7453 27636 10	+49 7453 27636 59
Elise-Averdieck-Straße 34	25836	Vollerwiek	+49 4862 21787 10	+49 4862 21787 59
Hardenbergstraße 43G	17392	Sarnow	+49 39722 215 10	+49 39722 215 59
Moorfleeter Deich 22	97285	Tauberrettersheim	+49 9338 64758 10	+49 9338 64758 59
Spreewalder Straße 8d	26605	Aurich	+49 4941 91887 10	+49 4941 91887 59
Wichernstraße 38E	24253	Passade	+49 4344 38398 10	+49 4344 38398 59
Gustav-Stroh-Straße 4	55116	Mainz	+49 6131 32763 10	+49 6131 32763 59
Brockhausweg 1A	13469	Berlin	+49 30 546225 10	+49 30 546225 59
Weststraße 39a	79194	Heuweiler	+49 7666 94298 10	+49 7666 94298 59
Bartholomäusgasse 40g	85134	Stammham	+49 8405 91292 10	+49 8405 91292 59
Max-Pruss-Straße 46E	73441	Bopfingen	+49 7362 8192 10	+49 7362 8192 59
Blaubeerweg 5c	67745	Grumbach	+49 6382 28541 10	+49 6382 28541 59
Karl-Gerold-Platz 26B	65599	Dornburg	+49 6436 94535 10	+49 6436 94535 59
Diagonalstraße 24D	29494	Trebel	+49 5848 89195 10	+49 5848 89195 59
Prinzenweg 13d	72639	Neuffen	+49 7025 8701 10	+49 7025 8701 59
Obere Schildstraße 44e	33739	Bielefeld	+49 521 56040 10	+49 521 56040 59
Mansfelder Straße 13E	25376	Borsfleth	+49 4824 4517 10	+49 4824 4517 59
Chattenweg 21	84570	Polling	+49 8631 9887 10	+49 8631 9887 59
Münsterer Weg 42B	67688	Rodenbach	+49 6374 94794 10	+49 6374 94794 59
Oltersteinweg 14C	30161	Hannover	+49 511 47584 10	+49 511 47584 59
Mühlsteinstraße 11C	79232	March	+49 7665 96857 10	+49 7665 96857 59
Kunigundenruhstraße 8	37318	Wüstheuterode	+49 36087 3598 10	+49 36087 3598 59
Am Hausberg 33a	91456	Diespeck	+49 9161 62039 10	+49 9161 62039 59
Welzelstraße 44g	14778	Päwesin	+49 33838 4448 10	+49 33838 4448 59
Agnes-Schwanfelderstraße 31a	56357	Oberwallmenach	+49 6772 92897 10	+49 6772 92897 59
Balduinstraße 1b	18442	Steinhagen	+49 38461 4410 10	+49 38461 4410 59
Meißner Straße 30b	54552	Steiningen	+49 6573 83549 10	+49 6573 83549 59
Villacher Straße 20a	57537	Selbach (Sieg)	+49 2742 69494 10	+49 2742 69494 59
Kurzegasse 2c	94166	Stubenberg	+49 8571 40993 10	+49 8571 40993 59
Kurt-Tucholsky-Straße 16h	97513	Michelau i.Steigerwald	+49 9382 22398 10	+49 9382 22398 59
Untere Königsstraße 10a	24398	Brodersby	+49 4644 2934 10	+49 4644 2934 59
Kindleinseiche 39a	56479	Rehe	+49 2664 9131 10	+49 2664 9131 59
Pirnaischer Platz 1A	39615	Altmärkische Wische	+49 9129 2940 10	+49 9129 2940 59
Maybachstraße 14A	85247	Schwabhausen	+49 8138 75836 10	+49 8138 75836 59
Eichstraße 33D	69245	Bammental	+49 6223 86993 10	+49 6223 86993 59
Altdobritz 8g	25572	Ecklak	+49 4825 4213 10	+49 4825 4213 59
Kuckuckssteig 2	66646	Marpingen	+49 6853 85696 10	+49 6853 85696 59
Florianstraße 45H	88416	Steinhausen an der Rottum	+49 7352 6111 10	+49 7352 6111 59
Richard-Bernhardt-Weg 26c	76661	Philippsburg	+49 7256 9452 10	+49 7256 9452 59
Heitmanns Weg 9B	02763	Bertsdorf-Hörnitz	+49 3583 56040 10	+49 3583 56040 59
Fritzlarer Straße 35d	79685	Häg-Ehrsberg	+49 7625 2198 10	+49 7625 2198 59
Heiligenstockweg 43D	19069	Klein Trebbow	+49 385 20073 10	+49 385 20073 59
Fuchsloch 31f	94522	Wallersdorf	+49 9933 63993 10	+49 9933 63993 59
Im Rosenträger 50e	59846	Sundern	+49 2933 9229 10	+49 2933 9229 59
In der Fuchskaut 40a	67816	Standenbühl	+49 6357 3388 10	+49 6357 3388 59
Magazinstraße 6a	79258	Hartheim am Rhein	+49 7633 91594 10	+49 7633 91594 59
Kurmainzer Straße 7G	23827	Wensin	+49 4559 79793 10	+49 4559 79793 59
Hirtenstraße 36B	82293	Mittelstetten	+49 8202 69394 10	+49 8202 69394 59
Franz-Ludwig-Straße 16A	26901	Rastdorf	+49 5956 31007 10	+49 5956 31007 59
Schellenbergerstraße 5A	84533	Stammham	+49 8678 59195 10	+49 8678 59195 59
Laubestraße 2D	91596	Burk	+49 9852 6161 10	+49 9852 6161 59
Kronstädter Platz 15D	08223	Werda	+49 37463 1293 10	+49 37463 1293 59
Schäfers Gärten 18A	88167	Grünenbach	+49 8383 64142 10	+49 8383 64142 59
Stettenstraße 25E	37186	Moringen	+49 5554 4970 10	+49 5554 4970 59
Kurhausstraße 44d	55234	Erbes-Büdesheim	+49 6731 89135 10	+49 6731 89135 59
Harthaer Straße 1d	56581	Kurtscheid	+49 2634 9463 10	+49 2634 9463 59
Amtsgasse 9e	55278	Uelversheim	+49 6249 6765 10	+49 6249 6765 59
Julius-Heyman-Straße 28	14542	Werder (Havel)	+49 3327 50697 10	+49 3327 50697 59
Anckelmannstraße 49	54552	Mehren	+49 6592 71465 10	+49 6592 71465 59
Michael Urient-Gasse 34c	06408	Ilberstedt	+49 3471 2053 10	+49 3471 2053 59
Am Fährhaus 16c	73037	Göppingen	+49 7161 30539 10	+49 7161 30539 59
Boxdorfer Weg 11E	67742	Deimberg	+49 6387 41348 10	+49 6387 41348 59
Pflugweg 39B	93073	Neutraubling	+49 9401 52926 10	+49 9401 52926 59
Kurhessenstraße 31	58642	Iserlohn	+49 2371 5654 10	+49 2371 5654 59
Willmannstraße 31d	94360	Mitterfels	+49 9961 54944 10	+49 9961 54944 59
Augsburger Straße 25a	06528	Edersleben	+49 3464 25896 10	+49 3464 25896 59
Gummersbergstraße 12f	39114	Magdeburg	+49 391 835232 10	+49 391 835232 59
Gebrüder-Grimm-Weg 6a	74869	Schwarzach	+49 6262 80838 10	+49 6262 80838 59
Am Goldenen Stiefel 41b	09456	Mildenau	+49 3733 55746 10	+49 3733 55746 59
Mühlfeld 12d	91567	Herrieden	+49 9825 5093 10	+49 9825 5093 59
Caracasweg 21a	12161	Berlin	+49 30 565862 10	+49 30 565862 59
Wollnerstraße 32e	88605	Sauldorf	+49 7777 2689 10	+49 7777 2689 59
Friedrich-Karl-Klausing-Straße 41f	58511	Lüdenscheid	+49 2351 65621 10	+49 2351 65621 59
Große Rittergasse 14H	24791	Neu Duvenstedt	+49 4338 68133 10	+49 4338 68133 59
Bleiweißstraße 19D	97243	Bieberehren	+49 9338 99991 10	+49 9338 99991 59
Hetzerstraße 19E	26386	Wilhelmshaven	+49 4421 69772 10	+49 4421 69772 59
Anton-Schuster-Straße 23e	70437	Stuttgart	+49 711 320692 10	+49 711 320692 59
Ginsterweg 24e	37318	Arenshausen	+49 36081 8437 10	+49 36081 8437 59
Brooksdamm 37	76889	Schweighofen	+49 6342 9223 10	+49 6342 9223 59
Schneckengasse 42	71116	Gärtringen	+49 7034 94801 10	+49 7034 94801 59
Untere Hafnerstraße 24B	34311	Naumburg	+49 5625 63027 10	+49 5625 63027 59
Dülferstraße 30	08606	Bösenbrunn	+49 37421 448 10	+49 37421 448 59
Mühlangergasse 48c	54570	Pelm	+49 6591 40037 10	+49 6591 40037 59
Stangstraße 17C	37318	Freienhagen	+49 36083 592 10	+49 36083 592 59
Gohrischstraße 3E	30827	Garbsen	+49 5131 5602 10	+49 5131 5602 59
Rodheimer Straße 15	94428	Eichendorf	+49 9952 83848 10	+49 9952 83848 59
Liegnitzer Straße 27B	57584	Wallmenroth	+49 2741 18298 10	+49 2741 18298 59
Kirschensteg 24e	76889	Vorderweidenthal	+49 6398 49137 10	+49 6398 49137 59
Hallesche Straße 19D	23562	Lübeck	+49 451 93197 10	+49 451 93197 59
Alter Jagdweg 16g	06618	Wethau	+49 3445 23996 10	+49 3445 23996 59
Weddestraße 28B	34471	Volkmarsen	+49 5693 89340 10	+49 5693 89340 59
Tidekanalbrücke 49H	97953	Königheim	+49 9340 88138 10	+49 9340 88138 59
Klosterlehen 37	66917	Wallhalben	+49 6375 47048 10	+49 6375 47048 59
Jahnring 43b	63906	Erlenbach am Main	+49 9372 92845 10	+49 9372 92845 59
Julius-Campe-Weg 25	54552	Sarmersbach	+49 6592 6150 10	+49 6592 6150 59
Zwischen den Hecken 32e	78359	Orsingen-Nenzingen	+49 7771 63643 10	+49 7771 63643 59
Alstertwiete 33	55767	Siesbach	+49 6781 51593 10	+49 6781 51593 59
Wundtstraße 40A	54655	Malberg	+49 2735 90092 10	+49 2735 90092 59
Marsdorfer Hauptstraße 50c	96191	Viereth-Trunstadt	+49 9503 64737 10	+49 9503 64737 59
Katzensprung 42A	25355	Bevern	+49 4123 91749 10	+49 4123 91749 59
Buhnenstraße 30D	38477	Jembke	+49 5366 43630 10	+49 5366 43630 59
Kapitän-Lehmann-Straße 15d	78661	Dietingen	+49 741 897882 10	+49 741 897882 59
An der Sonnenlehne 2f	95361	Ködnitz	+49 9221 88615 10	+49 9221 88615 59
Ingeborg-Bachmann-Straße 25D	93105	Tegernheim	+49 9403 58890 10	+49 9403 58890 59
Am Schiffbeker Berg 12B	57537	Wissen	+49 2742 77834 10	+49 2742 77834 59
Genslerweg 47F	06632	Freyburg (Unstrut)	+49 34464 1551 10	+49 34464 1551 59
Berggasse 13F	23911	Mustin	+49 4546 89094 10	+49 4546 89094 59
Kramergasse 20F	55767	Niederhambach	+49 6787 62730 10	+49 6787 62730 59
Rosental 45A	37318	Schönhagen	+49 36083 3292 10	+49 36083 3292 59
An der Schwarzbachmühle 26	54552	Schalkenmehren	+49 6592 9583 10	+49 6592 9583 59
Claviusstraße 32g	90427	Nürnberg	+49 911 92796 10	+49 911 92796 59
